step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,cgibinmmwebwxbinwebwxgetmsgimgmsgid4064220584563953741skeycryptb7823e73b2ada00315c85bcd976703efcb8b6d23mmwebappidwxwebfilehelper,0.49999999999999967,0.4999999999999993,1,,Observation,"I took this photo near the UCSB library during the afternoon. Several students were sitting together at outdoor tables. Student groups nearby were introducing activities and talking to people passing by. Some students stopped for a few seconds to listen, while others stayed longer and joined in the conversation. The area felt busy, but also comfortable and relaxed.

What I noticed was how easy people made it look to interact with each other. Students who didn't seem to know each other were still willing to stop, ask questions, and join in. Some people were eating together, while others were handing out flyers or explaining their organisations. Even students just walking through the area often slowed down to look around. The space felt welcoming, not formal. It seemed like students were happy to be part of the campus community, even in small ways.",,Learn more,main-story-1-nn6g-interpretation.md,Go deeper,main-story-1-nn6g-connection-to-reading.md,,,
2,cgibinmmwebwxbinwebwxgetmsgimgmsgid4064220584563953741skeycryptb7823e73b2ada00315c85bcd976703efcb8b6d23mmwebappidwxwebfilehelper,0.5383254272425589,0.7584813400327228,2.2201041176470593,,,The students sitting together show how connection at UCSB often grows through casual conversation and shared time. Even small moments like eating or talking together can create a feeling of comfort and belonging.,,,,,,,,
3,cgibinmmwebwxbinwebwxgetmsgimgmsgid4064220584563953741skeycryptb7823e73b2ada00315c85bcd976703efcb8b6d23mmwebappidwxwebfilehelper,0.5047030978732636,0.5845896877269418,4.970382352941177,,,Students who stop to listen or ask questions help create a welcoming campus environment. These short interactions show how community can form between people who may not know each other well.,,,,,,,,
